SA2_NAME_2011,QI_INDICATOR
Ingleburn - Denham Court,Good
Leumeah - Minto Heights,Poor
Macquarie Fields - Glenfield,Good
Minto - St Andrews,Poor
Rosemeadow - Glen Alpine,Poor
Bargo,Good
Douglas Park - Appin,Poor
Picton - Tahmoor - Buxton,Acceptable
The Oaks - Oakdale,Poor
Blackheath - Megalong Valley,Good
Blaxland - Warrimoo - Lapstone,Good
Blue Mountains - North,Poor
Katoomba - Leura,Good
Lawson - Hazelbrook - Linden,Good
Springwood - Winmalee,Good
Wentworth Falls,Good
Blue Mountains - South,Poor
Cambridge Park,Poor
Castlereagh - Cranebrook,Good
Emu Plains - Leonay,Poor
Glenmore Park - Regentville,Acceptable
Jamisontown - South Penrith,Poor
Kingswood - Werrington,Poor
Mulgoa - Luddenham - Orchard Hills,Poor
Penrith,Poor
Warragamba - Silverdale,Good
Richmond - Clarendon,Poor
Windsor - Bligh Park,Poor
Yarramundi - Londonderry,Poor
Erskine Park,Poor
St Clair,Poor
St Marys - Colyton,Good
Auburn,Good
Homebush Bay - Silverwater,Good
Lidcombe - Regents Park,Good
Rookwood Cemetery,Poor
Carlingford,Acceptable
Ermington - Rydalmere,Acceptable
Oatlands - Dundas Valley,Acceptable
Chester Hill - Sefton,Good
Fairfield - East,Poor
Granville - Clyde,Poor
Greystanes - Pemulwuy,Poor
Guildford - South Granville,Poor
Guildford West - Merrylands West,Poor
Merrylands - Holroyd,Poor
Smithfield Industrial,Poor
Yennora Industrial,Poor
Girraween - Westmead,Poor
North Parramatta,Poor
North Rocks,Poor
Northmead,Poor
Parramatta - Rosehill,Poor
Toongabbie - Constitution Hill,Poor
Winston Hills,Poor
Epping - North Epping,Good
Pennant Hills - Cheltenham,Poor
Eastwood - Denistone,Poor
Gladesville - Huntleys Point,Good
Hunters Hill - Woolwich,Good
Macquarie Park - Marsfield,Poor
North Ryde - East Ryde,Poor
Ryde - Putney,Acceptable
West Ryde - Meadowbank,Acceptable
Ashcroft - Busby - Miller,Poor
Badgerys Creek - Greendale,Poor
Cobbitty - Leppington,Poor
Green Valley - Cecil Hills,Poor
Hoxton Park - Horningsea Park,Poor
Bonnyrigg Heights - Bonnyrigg,Good
Bossley Park - Abbotsbury,Poor
Cabramatta - Lansvale,Poor
Cabramatta West - Mount Pritchard,Poor
Canley Vale - Canley Heights,Poor
Edensor Park,Poor
Fairfield,Poor
Fairfield - West,Poor
Greenfield Park - Prairiewood,Poor
Horsley Park - Kemps Creek,Poor
Smithfield - Wetherill Park,Good
St Johns Park - Wakeley,Poor
Wetherill Park Industrial,Poor
Casula,Poor
Chipping Norton - Moorebank,Poor
Holsworthy - Wattle Grove,Acceptable
Liverpool - Warwick Farm,Poor
Prestons - Lurnea,Poor
Caringbah - Lilli Pilli,Good
Cronulla - Kurnell - Bundeena,Good
Gymea - Grays Point,Acceptable
Miranda - Yowie Bay,Good
Sylvania - Taren Point,Acceptable
Engadine - Loftus,Poor
Heathcote - Waterfall,Poor
Illawong - Alfords Point,Poor
Menai - Lucas Heights - Woronora,Poor
Oyster Bay - Como - Jannali,Acceptable
Royal National Park,Poor
Sutherland - Kirrawee,Poor
Alfredton,Poor
Ballarat,Poor
Ballarat - North,Poor
Ballarat - South,Poor
Buninyong,Poor
Delacombe,Poor
Smythes Creek,Poor
Wendouree - Miners Rest,Poor
Bacchus Marsh Region,Acceptable
Creswick - Clunes,Acceptable
Daylesford,Acceptable
Gordon (Vic.),Poor
Avoca,Poor
Beaufort,Poor
Golden Plains - North,Poor
Maryborough (Vic.),Acceptable
Maryborough Region,Poor
Bendigo,Poor
California Gully - Eaglehawk,Acceptable
East Bendigo - Kennington,Poor
Flora Hill - Spring Gully,Poor
Kangaroo Flat - Golden Square,Good
Maiden Gully,Poor
Strathfieldsaye,Poor
White Hills - Ascot,Poor
Bendigo Region - South,Poor
Castlemaine,Acceptable
Castlemaine Region,Poor
Heathcote,Acceptable
Kyneton,Acceptable
Woodend,Good
Bendigo Region - North,Poor
Loddon,Acceptable
Bannockburn,Acceptable
Golden Plains - South,Acceptable
Winchelsea,Acceptable
Belmont,Poor
Corio - Norlane,Good
Geelong,Poor
Geelong West - Hamlyn Heights,Acceptable
Grovedale,Poor
Highton,Poor
Lara,Good
Leopold,Good
Newcomb - Moolap,Poor
Newtown (Vic.),Poor
North Geelong - Bell Park,Poor
Clifton Springs,Good
Lorne - Anglesea,Good
Ocean Grove - Barwon Heads,Good
Portarlington,Good
Queenscliff,Good
Torquay,Good
Alexandra,Good
Euroa,Good
Kilmore - Broadford,Good
Mansfield (Vic.),Good
Nagambie,Good
Seymour,Acceptable
Seymour Region,Poor
Upper Yarra Valley,Poor
Yea,Acceptable
Benalla,Good
Benalla Region,Good
Rutherglen,Good
Wangaratta,Good
Wangaratta Region,Acceptable
Beechworth,Good
Bright - Mount Beauty,Acceptable
Chiltern - Indigo Valley,Good
Myrtleford,Good
Towong,Acceptable
West Wodonga,Poor
Wodonga,Poor
Yackandandah,Poor
Drouin,Good
Mount Baw Baw Region,Poor
Trafalgar (Vic.),Good
Warragul,Good
Alps - East,Poor
Bairnsdale,Acceptable
Bruthen - Omeo,Poor
Lake King,Poor
Lakes Entrance,Good
Orbost,Good
Paynesville,Acceptable
Foster,Good
French Island,Good
Korumburra,Good
Leongatha,Good
Phillip Island,Good
Wilsons Promontory,Poor
Wonthaggi - Inverloch,Acceptable
Churchill,Poor
Moe - Newborough,Acceptable
Morwell,Acceptable
Traralgon,Good
Yallourn North - Glengarry,Poor
Alps - West,Poor
Longford - Loch Sport,Poor
Maffra,Good
Rosedale,Poor
Sale,Good
Yarram,Acceptable
Brunswick,Good
Brunswick East,Good
Brunswick West,Good
Coburg,Acceptable
Pascoe Vale South,Poor
Alphington - Fairfield,Acceptable
Northcote,Good
Thornbury,Good
Ascot Vale,Poor
Essendon - Aberfeldie,Acceptable
Flemington,Poor
Moonee Ponds,Good
Carlton,Good
Docklands,Good
East Melbourne,Good
Flemington Racecourse,Poor
Kensington,Poor
Melbourne,Good
North Melbourne,Good
Parkville,Good
South Yarra - West,Poor
Southbank,Good
West Melbourne,Poor
Albert Park,Acceptable
Elwood,Good
Port Melbourne,Good
Port Melbourne Industrial,Poor
South Melbourne,Good
St Kilda,Acceptable
St Kilda East,Poor
Armadale,Good
Prahran - Windsor,Good
South Yarra - East,Acceptable
Toorak,Good
Abbotsford,Good
Carlton North - Princes Hill,Good
Collingwood,Good
Fitzroy,Good
Fitzroy North,Poor
Richmond (Vic.),Good
Yarra - North,Poor
Ashburton (Vic.),Poor
Balwyn,Good
Balwyn North,Good
Camberwell,Good
Glen Iris - East,Poor
Hawthorn,Good
Hawthorn East,Good
Kew,Good
Kew East,Good
Surrey Hills (West) - Canterbury,Poor
Bulleen,Good
Doncaster,Good
Doncaster East,Good
Templestowe,Good
Templestowe Lower,Good
Blackburn,Poor
Blackburn South,Poor
Box Hill,Good
Box Hill North,Good
Burwood,Acceptable
Burwood East,Good
Surrey Hills (East) - Mont Albert,Poor
Beaumaris,Poor
Brighton (Vic.),Good
Brighton East,Good
Cheltenham - Highett (West),Poor
Hampton,Good
Sandringham - Black Rock,Poor
Bentleigh - McKinnon,Poor
Bentleigh East,Good
Carnegie,Poor
Caulfield - North,Acceptable
Caulfield - South,Good
Elsternwick,Acceptable
Hughesdale,Poor
Murrumbeena,Poor
Ormond - Glen Huntly,Poor
Aspendale Gardens - Waterways,Poor
Braeside,Poor
Carrum - Patterson Lakes,Good
Chelsea - Bonbeach,Poor
Chelsea Heights,Poor
Cheltenham - Highett (East),Acceptable
Edithvale - Aspendale,Poor
Mentone,Good
Moorabbin - Heatherton,Good
Moorabbin Airport,Poor
Mordialloc - Parkdale,Poor
Malvern - Glen Iris,Poor
Malvern East,Good
Bundoora - East,Poor
Greensborough,Poor
Heidelberg - Rosanna,Poor
Heidelberg West,Good
Ivanhoe,Poor
Ivanhoe East - Eaglemont,Poor
Montmorency - Briar Hill,Acceptable
Viewbank - Yallambie,Poor
Watsonia,Good
Kingsbury,Poor
Preston,Good
Reservoir - East,Poor
Reservoir - West,Poor
Eltham,Acceptable
Hurstbridge,Poor
Kinglake,Poor
Panton Hill - St Andrews,Poor
Plenty - Yarrambat,Poor
Research - North Warrandyte,Poor
Wattle Glen - Diamond Creek,Good
Bundoora - North,Poor
Bundoora - West,Poor
Epping,Good
Lalor,Good
Mill Park - North,Poor
Mill Park - South,Poor
South Morang,Good
Thomastown,Good
Wallan,Good
Whittlesea,Acceptable
Airport West,Poor
Essendon Airport,Poor
Keilor,Poor
Keilor East,Good
Niddrie - Essendon West,Poor
Strathmore,Acceptable
Gisborne,Good
Macedon,Good
Riddells Creek,Good
Romsey,Acceptable
Coburg North,Poor
Fawkner,Good
Glenroy - Hadfield,Poor
Pascoe Vale,Poor
Sunbury,Poor
Sunbury - South,Poor
Broadmeadows,Poor
Campbellfield - Coolaroo,Poor
Craigieburn - Mickleham,Poor
Gladstone Park - Westmeadows,Poor
Greenvale - Bulla,Good
Meadow Heights,Acceptable
Melbourne Airport,Poor
Roxburgh Park - Somerton,Poor
Tullamarine,Poor
Bayswater,Poor
Boronia - The Basin,Good
Ferntree Gully,Acceptable
Knoxfield - Scoresby,Good
Lysterfield,Poor
Rowville - Central,Poor
Rowville - North,Poor
Rowville - South,Poor
Wantirna,Poor
Wantirna South,Poor
Donvale - Park Orchards,Good
Warrandyte - Wonga Park,Poor
Bayswater North,Poor
Croydon,Poor
Croydon Hills - Warranwood,Poor
Ringwood,Poor
Ringwood East,Good
Ringwood North,Poor
Forest Hill,Poor
Mitcham (Vic.),Good
Nunawading,Poor
Vermont,Poor
Vermont South,Poor
Belgrave - Selby,Acceptable
Chirnside Park,Good
Healesville - Yarra Glen,Good
Kilsyth,Poor
Lilydale - Coldstream,Good
Monbulk - Silvan,Acceptable
Montrose,Good
Mooroolbark,Good
Mount Dandenong - Olinda,Good
Mount Evelyn,Good
Upwey - Tecoma,Poor
Wandin - Seville,Poor
Yarra Valley,Acceptable
Beaconsfield - Officer,Good
Bunyip - Garfield,Good
Emerald - Cockatoo,Acceptable
Koo Wee Rup,Poor
Pakenham - North,Poor
Pakenham - South,Poor
Berwick - North,Poor
Berwick - South,Poor
Doveton,Good
Endeavour Hills,Good
Hallam,Good
Narre Warren,Poor
Narre Warren North,Acceptable
Cranbourne,Poor
Cranbourne East,Poor
Cranbourne North,Poor
Cranbourne South,Poor
Cranbourne West,Poor
Hampton Park - Lynbrook,Good
Lynbrook - Lyndhurst,Good
Narre Warren South,Poor
Pearcedale - Tooradin,Poor
Clarinda - Oakleigh South,Poor
Clayton South,Poor
Dandenong,Poor
Dandenong North,Poor
Dingley Village,Poor
Keysborough,Good
Noble Park,Acceptable
Noble Park North,Poor
Springvale,Good
Springvale South,Poor
Ashwood - Chadstone,Poor
Clayton,Good
Glen Waverley - East,Poor
Glen Waverley - West,Poor
Mount Waverley - North,Poor
Mount Waverley - South,Poor
Mulgrave,Good
Oakleigh - Huntingdale,Poor
Wheelers Hill,Poor
Ardeer - Albion,Poor
Cairnlea,Poor
Deer Park - Derrimut,Poor
Delahey,Poor
Keilor Downs,Poor
Kings Park (Vic.),Poor
St Albans - North,Poor
St Albans - South,Poor
Sunshine,Poor
Sunshine North,Poor
Sunshine West,Poor
Sydenham,Poor
Taylors Lakes,Poor
Altona,Good
Altona Meadows,Poor
Altona North,Acceptable
Newport,Good
Seabrook,Poor
Williamstown,Good
Braybrook,Poor
Footscray,Poor
Maribyrnong,Poor
Seddon - Kingsville,Poor
West Footscray - Tottenham,Poor
Yarraville,Good
Bacchus Marsh,Good
Caroline Springs,Poor
Hillside,Poor
Melton,Poor
Melton South,Good
Melton West,Poor
Rockbank - Mount Cottrell,Poor
Taylors Hill,Poor
Hoppers Crossing - North,Poor
Hoppers Crossing - South,Poor
Laverton,Poor
Point Cook,Poor
Tarneit,Poor
Truganina,Poor
Werribee,Poor
Werribee - South,Poor
Wyndham Vale,Good
Carrum Downs,Good
Frankston,Poor
Frankston North,Poor
Frankston South,Poor
Langwarrin,Good
Seaford (Vic.),Good
Skye - Sandhurst,Poor
Dromana,Good
Flinders,Poor
Hastings - Somers,Good
Mornington,Good
Mount Eliza,Good
Mount Martha,Good
Point Nepean,Good
Rosebud - McCrae,Good
Somerville,Acceptable
Ararat,Acceptable
Ararat Region,Poor
Horsham,Good
Horsham Region,Poor
Nhill Region,Good
St Arnaud,Acceptable
Stawell,Good
West Wimmera,Acceptable
Yarriambiack,Good
Irymple,Good
Merbein,Good
Mildura,Good
Mildura Region,Acceptable
Red Cliffs,Good
Buloke,Good
Gannawarra,Acceptable
Kerang,Poor
Robinvale,Good
Swan Hill,Good
Swan Hill Region,Good
Echuca,Good
Kyabram,Good
Lockington - Gunbower,Poor
Rochester,Acceptable
Rushworth,Acceptable
Cobram,Poor
Moira,Poor
Numurkah,Good
Yarrawonga,Acceptable
Mooroopna,Acceptable
Shepparton - North,Poor
Shepparton - South,Poor
Shepparton Region - East,Poor
Shepparton Region - West,Acceptable
Glenelg (Vic.),Poor
Hamilton (Vic.),Good
Portland,Acceptable
Southern Grampians,Good
Camperdown,Poor
Colac,Good
Colac Region,Acceptable
Corangamite - North,Acceptable
Corangamite - South,Acceptable
Moyne - East,Poor
Moyne - West,Good
Otway,Acceptable
Warrnambool - North,Poor
Warrnambool - South,Poor
Alexandra Hills,Good
Belmont - Gumdale,Poor
Birkdale,Good
Capalaba,Acceptable
Thorneside,Good
Wellington Point,Poor
Cleveland,Good
Ormiston,Poor
Redland Bay,Poor
Redland Islands,Good
Sheldon - Mount Cotton,Poor
Thornlands,Good
Victoria Point,Poor
Brisbane Port - Lytton,Poor
Manly - Lota,Poor
Manly West,Poor
Murarrie,Good
Tingalpa,Good
Wakerley,Acceptable
Wynnum,Poor
Wynnum West - Hemmant,Poor
Bald Hills,Good
Bridgeman Downs,Poor
Carseldine,Poor
Everton Park,Poor
McDowall,Poor
Aspley,Poor
Chermside,Poor
Chermside West,Poor
Geebung,Poor
Kedron - Gordon Park,Good
Stafford,Poor
Stafford Heights,Poor
Wavell Heights,Poor
Boondall,Poor
Brisbane Airport,Poor
Eagle Farm - Pinkenba,Acceptable
Northgate - Virginia,Poor
Nudgee - Banyo,Acceptable
Nundah,Poor
Bracken Ridge,Poor
Brighton (Qld),Poor
Deagon,Poor
Sandgate - Shorncliffe,Poor
Taigum - Fitzgibbon,Good
Zillmere,Poor
Camp Hill,Poor
Cannon Hill,Poor
Carina,Poor
Carina Heights,Poor
Carindale,Poor
Annerley,Acceptable
Coorparoo,Good
Fairfield - Dutton Park,Poor
Greenslopes,Good
Holland Park,Poor
Holland Park West,Poor
Woolloongabba,Poor
Yeronga,Acceptable
Eight Mile Plains,Poor
Macgregor (Qld),Poor
Mansfield (Qld),Poor
Mount Gravatt,Poor
