claim_id,claim_paid,total_claim_amount,claim_start_date,claim_status,tenure,exposure_id,condition_Other,condition_GastrointestinalIssues,condition_AllergiesAndskin,condition_EyesAndears,condition_Injuries,condition_RoutineCareandExaminations,condition_Illness,condition_Ingestion,condition_Dental,condition_Ortho,condition_BehavioralIssues,claimNb,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,max_tenure,total_earned_units,UW_Date,breed
claim_01183107-781a-40a4-adae-e0efd4326330,76.1,95.12727273,1/07/2024,covered_paid,8,exposure_c7f3005f-312e-4df6-a721-0a7fb79eb5e7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,female,FALSE,Not desexed,unknown,15/11/2023 17:00,17,80,100,House,Maroubra,2035,NSW,27/07/1989,80100,1 years,34,1,2,purebred,teckel,cardigan welsh corgi,cardigan welsh corgi,TRUE,0,1/11/2023 6:08,Morning (05:00 - 11:59),9,8,1/01/2024,Other
claim_011e40df-1841-4456-b98b-87b3f7a070a4,384.7,619.4636364,5/07/2024,covered_with_exclusions_paid,2,exposure_1eb2b2e0-6887-4cb9-8054-a241e6b1c200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,female,FALSE,Not desexed,FALSE,24/05/2024 17:00,2,80,100,House,Daglish,6008,WA,29/05/1995,80100,0-6 months,29,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,24/05/2024 22:47,Evening (18:00 - 23:59),3,3.225806452,1/05/2024,golden retriever
claim_01657cc7-9838-4b70-81db-c0d33d3f6707,144.3636364,203.0909091,24/04/2024,covered_with_exclusions_paid,5,exposure_3b753658-7470-4221-a631-69b7832865ab,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,male,FALSE,Not desexed,unknown,3/11/2023 17:00,6,80,100,House,Casey,2913,ACT,19/04/1994,80100,0-6 months,29,1,3,purebred,retriever,labrador retriever,labrador retriever,FALSE,0,4/11/2023 20:59,Evening (18:00 - 23:59),9,8,1/01/2024,labrador retriever
claim_016d2359-0a51-472e-87c0-2cb96dea8d4d,51.70909091,155.5454545,3/07/2024,covered_paid,4,exposure_b6404e07-56c7-4d58-980c-3d5caa86567b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,male,FALSE,Not desexed,unknown,7/03/2024 17:00,14,80,100,House,Doolandella,4077,QLD,3/08/1977,80100,1 years,46,1,3,purebred,shepherd type,german shepherd,german shepherd,FALSE,0,8/03/2024 9:48,Morning (05:00 - 11:59),5,5.774193548,1/03/2024,german shepherd
claim_01715414-73e3-4976-a6d9-a2660ae10235,730.2454545,1003.718182,19/06/2024,covered_paid,0,exposure_d73be127-6c5d-49ba-9b5b-cef9c68d3684,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,female,TRUE,1-2 yr,FALSE,15/06/2024 17:00,40,80,100,House,Clyde North,3978,VIC,1/02/1991,80100,3 years,33,2,1.5,cross,cross,cross,"jack russell terrier cross, australian cattle dogred heeler",TRUE,0,16/06/2024 10:13,Morning (05:00 - 11:59),2,2.5,1/06/2024,cross
claim_017b2902-7dd1-488e-bc89-6eab76e2b144,338.0727273,375.6363636,16/04/2024,covered_paid,5,exposure_f07b4e85-64d5-468d-9608-c28a006f26be,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,female,FALSE,Not desexed,unknown,6/11/2023 17:00,7,90,100,House,Mount Duneed,3217,VIC,14/08/1985,90100,7-12 months,38,1,1,purebred,brachycephalic,boston terrier,boston terrier,FALSE,0,7/11/2023 9:28,Morning (05:00 - 11:59),9,8,1/01/2024,Other
claim_018df4c9-5282-4a57-9f96-eb6d2a476b47,43.22727273,134.1363636,27/01/2024,covered_paid,1,exposure_ae169135-eb4a-4b80-a2c4-cf113ecfd291,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,male,TRUE,0-3 mo,unknown,19/12/2023 17:00,3,100,100,Apartment,Freshwater,2096,NSW,11/04/1988,100100,0-6 months,35,1,2,unnamed cross,unknown,staffordshire bull terrier cross,staffordshire bull terrier cross,FALSE,0,20/12/2023 20:22,Evening (18:00 - 23:59),8,8,1/01/2024,Other
claim_01d5532d-b73e-4e79-9653-cfddb2c46b20,682.6090909,849.3636364,4/04/2024,covered_paid,1,exposure_2b665dab-0ba0-49f7-bad5-3f8e0f46221e,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,male,TRUE,Not Sure,unknown,12/03/2024 17:00,17,90,100,House,Buderim,4556,QLD,1/12/1969,90100,1 years,54,1,2,purebred,collie related,border collie,border collie,FALSE,0,12/03/2024 21:50,Evening (18:00 - 23:59),5,5.612903226,1/03/2024,border collie
claim_01f46821-6a36-4ad5-962c-1306082afda8,42.32727273,143.8181818,9/07/2024,covered_paid,8,exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,female,FALSE,Not desexed,unknown,11/11/2023 17:00,2,80,100,House,Dee Why,2099,NSW,12/12/1991,80100,0-6 months,31,1,1,purebred,spitz related,schnauzerminiature,schnauzerminiature,FALSE,0,12/11/2023 16:28,Afternoon (12:00 - 17:59),9,8,1/01/2024,schnauzerminiature
claim_0241904f-64a0-4337-91dc-b898e29cd584,448.6545455,498.5090909,4/04/2024,covered_paid,4,exposure_620bc2c6-99cd-4ff2-85cf-2b8df7527a35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,female,TRUE,7-12 mo,unknown,25/12/2023 17:00,13,90,100,House,Salamander Bay,2317,NSW,17/06/1974,90100,1 years,49,2,3,cross,cross,cross,"labrador retriever cross, rhodesian ridgeback",FALSE,0,26/12/2023 11:55,Morning (05:00 - 11:59),8,8,1/01/2024,cross
claim_024246f8-1ce0-4424-aaa4-3b086e6aa99c,304.0727273,393.6818182,25/07/2024,covered_with_exclusions_paid,1,exposure_01a74ce8-7809-4a29-9706-63ebdee6e21c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,male,FALSE,Not desexed,unknown,5/06/2024 17:00,3,80,0,House,West Richmond,5033,SA,3/05/1992,800,0-6 months,32,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,5/06/2024 19:23,Evening (18:00 - 23:59),2,2.833333333,1/06/2024,golden retriever
claim_024d77d6-721b-4f16-8428-0f086389d7d9,49.09090909,152.2727273,23/03/2024,covered_paid,4,exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,female,FALSE,Not desexed,unknown,21/11/2023 17:00,4,80,100,House,Preston,3072,VIC,19/01/1985,80100,0-6 months,38,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,22/11/2023 21:50,Evening (18:00 - 23:59),9,8,1/01/2024,american staffordshire terrier cross
claim_02998113-6ffd-44ac-a753-2044e248b5ed,204.4454545,255.5636364,19/04/2024,covered_paid,5,exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,female,FALSE,Not desexed,unknown,15/11/2023 17:00,5,80,100,House,Richmond,3121,VIC,4/12/1967,80100,0-6 months,55,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,16/11/2023 12:55,Afternoon (12:00 - 17:59),9,8,1/01/2024,cavoodle
claim_02ad7ad8-dabe-408a-bbab-07be567c8107,76.90909091,76.90909091,2/02/2024,covered_paid,2,exposure_97f7d01e-1404-4739-9f20-dda5b96d9da7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,female,FALSE,Not desexed,unknown,29/12/2023 17:00,2,100,100,House,Burleigh Waters,4220,QLD,26/11/1981,100100,0-6 months,42,1,2,purebred,spaniel,english cocker spaniel,english cocker spaniel,FALSE,0,30/12/2023 9:43,Morning (05:00 - 11:59),8,8,1/01/2024,english cocker spaniel
claim_02be4712-fc5a-4d92-acd1-908f6bb7c3bb,911.3545455,1321.018182,12/07/2024,covered_paid,1,exposure_df4a37b7-f145-430c-874d-1caeaadfef07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,female,FALSE,Not desexed,FALSE,24/06/2024 17:00,10,80,200,House,Raceview,4305,QLD,26/06/1995,80200,7-12 months,29,1,2,purebred,collie related,border collie,border collie,FALSE,0,25/06/2024 4:19,Late Night (00:00 - 04:59),2,2.2,1/06/2024,border collie
claim_02ca5515-a142-427d-ac7e-e68254d299b8,392.8090909,527.3636364,3/05/2024,covered_paid,2,exposure_51ad92fd-76a5-4add-b916-b900e9ae1e51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,male,FALSE,Not desexed,unknown,26/03/2024 17:00,2,90,100,House,Chatswood,2067,NSW,1/08/1987,90100,0-6 months,36,1,2,purebred,spitz related,shiba inu,shiba inu,FALSE,0,26/03/2024 19:49,Evening (18:00 - 23:59),5,5.161290323,1/03/2024,Other
claim_02ce9759-4c11-4927-b6d7-96411a143bd4,453.6818182,686.9181818,31/08/2024,covered_with_exclusions_paid,0,exposure_ba8c479f-4e13-4af9-88f2-3e5d7e0f82e1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,female,FALSE,Not desexed,FALSE,17/08/2024 17:00,3,90,100,House,Lysterfield,3156,VIC,4/09/1986,90100,0-6 months,37,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,18/08/2024 21:38,Evening (18:00 - 23:59),0,0.451612903,1/08/2024,golden retriever
claim_02d552b4-c960-4220-88b9-0e1296935a10,2907.636364,3634.545455,16/05/2024,covered_paid,5,exposure_24f6957d-14ff-4512-8893-c90796491939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,male,FALSE,Not desexed,unknown,1/12/2023 17:00,59,80,100,House,Banksia Beach,4507,QLD,10/08/1976,80100,4 years,47,1,3,purebred,brachycephalic,american staffordshire terrier,american staffordshire terrier,FALSE,0,2/12/2023 13:40,Afternoon (12:00 - 17:59),8,8,1/01/2024,american staffordshire terrier
claim_02e2cb40-65e9-4c6a-b25b-799d06c0f7a4,1058.472727,1496.963636,8/08/2024,covered_paid,3,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,male,FALSE,Not desexed,FALSE,29/05/2024 17:00,2,80,100,House,Thornbury,3071,VIC,22/09/1995,80100,0-6 months,28,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,29/05/2024 18:18,Evening (18:00 - 23:59),3,3.064516129,1/05/2024,golden retriever
claim_02ec4c88-cd3c-4648-841b-6851a5f00fd1,30.68181818,148.1818182,1/07/2024,covered_with_exclusions_paid,6,exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,female,FALSE,Not desexed,unknown,31/12/2023 17:00,8,90,100,House,Molendinar,4214,QLD,3/03/1983,90100,7-12 months,40,1,3,designerbreed,water dog,groodle,groodle,FALSE,0,1/01/2024 19:35,Evening (18:00 - 23:59),7,8,1/01/2024,groodle
claim_02ef798e-01b9-4e24-8aba-d3d4d8e31c18,130.4727273,163.0909091,1/07/2024,covered_paid,4,exposure_6630abcb-f59b-4c86-b3dd-67047ff7ecd4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,male,FALSE,Not desexed,unknown,14/03/2024 17:00,6,80,0,House,Baldivis,6171,WA,14/07/1968,800,0-6 months,55,1,3,unnamed cross,unknown,bull terrier cross,bull terrier cross,FALSE,0,14/03/2024 21:28,Evening (18:00 - 23:59),5,5.548387097,1/03/2024,Other
claim_02fd543f-c5cf-4972-80c7-d9e3f67a5af1,152.1454545,190.1818182,29/04/2024,covered_paid,2,exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,female,FALSE,Not desexed,unknown,19/02/2024 17:00,2,80,100,House,Rouse Hill,2155,NSW,2/12/1991,80100,0-6 months,32,1,3,purebred,spitz related,chow chow,chow chow,FALSE,0,20/02/2024 20:34,Evening (18:00 - 23:59),6,6.344827586,1/02/2024,Other
claim_030f3ed9-c580-4070-a444-3f9e427a8623,133.9181818,148.8,2/04/2024,covered_paid,4,exposure_bbdc25ed-1597-41ca-985a-9cbb2e7aba63,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,female,FALSE,Not desexed,unknown,23/12/2023 17:00,2,90,100,House,Dayton,6055,WA,21/07/1989,90100,0-6 months,34,1,1,purebred,terrier,west highland white terrier,west highland white terrier,FALSE,0,24/12/2023 2:20,Late Night (00:00 - 04:59),8,8,1/01/2024,Other
claim_03210d5b-7193-4940-a1f9-b0607a2562cb,191.4545455,239.3181818,2/07/2024,covered_paid,5,exposure_9f579ff5-a2b4-4b6e-ac29-7e9a9ad5991d,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,female,FALSE,Not desexed,unknown,24/02/2024 17:00,2,80,0,Apartment,Saint Kilda East,3183,VIC,23/02/1995,800,0-6 months,29,1,3,purebred,mastiff,rottweiler,rottweiler,FALSE,0,25/02/2024 13:40,Afternoon (12:00 - 17:59),6,6.172413793,1/02/2024,Other
claim_032b5397-06bd-4495-a9bf-a159caab7d79,100.1818182,477.7272727,7/08/2024,part_covered_paid,9,exposure_c5c48861-3054-4c91-92d3-36c5dce37290,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,male,FALSE,Not desexed,unknown,21/11/2023 17:00,29,80,100,House,Collingwood,3066,VIC,11/01/2002,80100,2 years,21,1,3,purebred,pointer,german pointerlonghaired,german pointerlonghaired,FALSE,0,22/11/2023 15:08,Afternoon (12:00 - 17:59),9,8,1/01/2024,Other
claim_032fd703-62a3-440a-aaab-a631cc0a4eb9,76.54545455,176.5454545,3/02/2024,covered_with_exclusions_paid,1,exposure_03e14ee8-b0a5-4703-9304-d200b6f05e42,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,male,FALSE,Not desexed,unknown,7/01/2024 17:00,2,100,100,House,Rosebery,2018,NSW,25/06/2003,100100,0-6 months,20,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,8/01/2024 10:32,Morning (05:00 - 11:59),7,7.774193548,1/01/2024,cavoodle
claim_0345eef8-7efc-4c75-b330-3943cf6754f0,349.4,479.1363636,19/05/2024,covered_paid,6,exposure_76ecded4-7bda-46e7-b4bb-4b34e97acfaa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,male,FALSE,Not desexed,unknown,3/11/2023 17:00,17,90,100,House,Moama,2731,NSW,1/08/1974,90100,1 years,49,1,3,purebred,hound,rhodesian ridgeback,rhodesian ridgeback,FALSE,0,4/11/2023 6:09,Morning (05:00 - 11:59),9,8,1/01/2024,Other
claim_0356502e-f8ee-41ea-b7a2-f4a7e6bc77ca,728.0727273,1091.909091,29/08/2024,covered_paid,9,exposure_12b77cd8-d19c-4b81-85aa-bd9a8997f280,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,female,FALSE,Not desexed,unknown,4/11/2023 17:00,3,80,100,House,Melton,3337,VIC,21/06/1978,80100,0-6 months,45,1,2,purebred,brachycephalic,french bulldog,french bulldog,TRUE,0,5/11/2023 8:34,Morning (05:00 - 11:59),9,8,1/01/2024,french bulldog
claim_03598396-8667-4a71-8f97-999d4d496fc0,77.72727273,86.36363636,27/08/2024,covered_paid,1,exposure_b7feaf72-2991-44a4-8e3e-79421be5cf9d,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,female,FALSE,Not desexed,FALSE,20/07/2024 17:00,25,80,0,House,Point Cook,3030,VIC,11/08/1990,800,2 years,33,1,2,unnamed cross,unknown,siberian husky cross,siberian husky cross,FALSE,0,21/07/2024 1:23,Late Night (00:00 - 04:59),1,1.35483871,1/07/2024,Other
claim_036c503b-26fe-4bb2-a4e6-27031f5715f4,111.5636364,139.4545455,16/04/2024,covered_paid,2,exposure_14c3367a-1d68-42e4-8cfe-396b45e7d400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,male,FALSE,Not desexed,unknown,24/02/2024 17:00,2,80,100,House,Kiama Heights,2533,NSW,2/09/1971,80100,0-6 months,52,1,2,purebred,brachycephalic,staffordshire bull terrier,staffordshire bull terrier,FALSE,0,18/02/2024 10:29,Morning (05:00 - 11:59),6,6.172413793,1/02/2024,staffordshire bull terrier
claim_0383ae73-8c3b-40b1-848e-fb4a5db49e03,69.09090909,167.6818182,26/03/2024,covered_paid,0,exposure_f23ba47f-be32-487c-847a-fc85c646f4a6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,male,FALSE,Not desexed,unknown,13/03/2024 17:00,3,90,100,House,Corio,3214,VIC,26/11/1986,90100,0-6 months,37,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,13/03/2024 15:08,Afternoon (12:00 - 17:59),5,5.580645161,1/03/2024,golden retriever
claim_038a0c44-7d6f-4f09-8d14-42b2fdffa0b1,72.58181818,181.6363636,17/06/2024,covered_paid,5,exposure_43831102-f890-45c7-b157-31484f7c9561,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,male,FALSE,Not desexed,unknown,6/01/2024 17:00,2,80,100,House,Frankston South,3199,VIC,9/03/1998,80100,0-6 months,25,1,2,purebred,brachycephalic,staffordshire bull terrier,staffordshire bull terrier,FALSE,0,7/01/2024 18:35,Evening (18:00 - 23:59),7,7.806451613,1/01/2024,staffordshire bull terrier
claim_039baa5e-d0d7-4aa8-9e6c-6ec1a150efca,133.3545455,148.1727273,31/01/2024,covered_paid,0,exposure_7c046041-6336-490b-ab5c-3b6b32eba5d3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,female,TRUE,4-6 mo,unknown,7/01/2024 17:00,18,90,0,House,Mill Park,3082,VIC,23/08/2002,900,1 years,21,1,2,purebred,brachycephalic,staffordshire bull terrier,staffordshire bull terrier,FALSE,0,8/01/2024 7:52,Morning (05:00 - 11:59),7,7.774193548,1/01/2024,staffordshire bull terrier
